Sponsor_raw,Sponsor_clean,Sponsor_type
"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",Johnson & Johnson Pharmaceutical Research & Development,Industry
Centre Hospitalier Universitaire de Nice,Centre Hospitalier Universitaire de Nice,Hospital / medical center
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
"University of California, Davis","University of California, Davis",Academic
"University of Maryland, Baltimore","University of Maryland, Baltimore",Academic
GlaxoSmithKline,GlaxoSmithKline,Industry
OSE Immunotherapeutics,OSE Immunotherapeutics,Industry
Liaoning Cancer Hospital & Institute,Liaoning Cancer Hospital & Institute,Hospital / medical center
Akeso,Akeso,Industry
"Candel Therapeutics, Inc.",Candel Therapeutics,Industry
Ospedale Santa Croce-Carle Cuneo,Ospedale Santa Croce-Carle Cuneo,Hospital / medical center
"Charite University, Berlin, Germany",Charite University,Academic
"University College, London",University College London,Academic
Bayer,Bayer,Industry
University of Aarhus,University of Aarhus,Academic
Ruijin Hospital,Ruijin Hospital,Hospital / medical center
Assiut University,Assiut University,Academic
Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,Hospital / medical center
Cancer Research UK,Cancer Research UK,Research institute / foundation
Centus Biotherapeutics Limited,Centus Biotherapeutics Limited,Industry
"CSPC Ouyi Pharmaceutical Co., Ltd.",CSPC Ouyi Pharmaceutical,Industry
Vastra Gotaland Region,Vastra Gotaland Region,Government / public agency
Henan Cancer Hospital,Henan Cancer Hospital,Hospital / medical center
A.O.U. Città della Salute e della Scienza,A.O.U. Città della Salute e della Scienza,Hospital / medical center
International Atomic Energy Agency,International Atomic Energy Agency,Government / public agency
Massachusetts General Hospital,Massachusetts General Hospital,Hospital / medical center
Weill Medical College of Cornell University,Weill Medical College of Cornell University,Academic
European Organisation for Research and Treatment of Cancer - EORTC,European Organisation for Research and Treatment of Cancer,Cooperative group / network
National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),National Institute of Diabetes and Digestive and Kidney Diseases,Government / public agency
Children's Hospital Los Angeles,Children's Hospital Los Angeles,Hospital / medical center
Soon Chun Hyang University,Soon Chun Hyang University,Academic
Fudan University,Fudan University,Academic
Fudan University,Fudan University,Academic
PregLem SA,PregLem SA,Industry
Celgene,Celgene,Industry
Mundipharma (China) Pharmaceutical Co. Ltd,Mundipharma Pharmaceutical Co. Ltd,Industry
Uppsala University,Uppsala University,Academic
Merck Sharp & Dohme LLC,Merck Sharp & Dohme LLC,Industry
Spirig Pharma Ltd.,Spirig Pharma Ltd.,Industry
British Columbia Cancer Agency,British Columbia Cancer Agency,Research institute / foundation
"Janssen Research & Development, LLC",Janssen Research & Development LLC,Industry
Liaoning Cancer Hospital & Institute,Liaoning Cancer Hospital & Institute,Hospital / medical center
Dudley Group NHS Foundation Trust,Dudley Group NHS Foundation Trust,Hospital / medical center
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
European Lung Cancer Working Party,European Lung Cancer Working Party,Cooperative group / network
Bristol-Myers Squibb,Bristol-Myers Squibb,Industry
"Dizal (Jiangsu) Pharmaceutical Co., Ltd.",Dizal Pharmaceutical Co. Ltd,Industry
Fudan University,Fudan University,Academic
Daiichi Sankyo,Daiichi Sankyo,Industry
NSABP Foundation Inc,NSABP Foundation Inc,Cooperative group / network
Imunon,Imunon,Industry
RenJi Hospital,RenJi Hospital,Hospital / medical center
Radboud University Medical Center,Radboud University Medical Center,Hospital / medical center
St. Jude Children's Research Hospital,St. Jude Children's Research Hospital,Hospital / medical center
Fred Hutchinson Cancer Center,Fred Hutchinson Cancer Center,Research institute / foundation
Acerta Pharma BV,Acerta Pharma BV,Industry
Chinese Academy of Medical Sciences,Chinese Academy of Medical Sciences,Research institute / foundation
Peking Union Medical College Hospital,Peking Union Medical College Hospital,Hospital / medical center
Khon Kaen University,Khon Kaen University,Academic
AstraZeneca,AstraZeneca,Industry
Sun Yat-sen University,Sun Yat-sen University,Academic
AIDS Malignancy Consortium,AIDS Malignancy Consortium,Cooperative group / network
Bayer,Bayer,Industry
Shanghai JMT-Bio Inc.,Shanghai JMT-Bio Inc.,Industry
Changhai Hospital,Changhai Hospital,Hospital / medical center
Fujian Medical University Union Hospital,Fujian Medical University Union Hospital,Hospital / medical center
SWOG Cancer Research Network,SWOG Cancer Research Network,Cooperative group / network
M.D. Anderson Cancer Center,MD Anderson Cancer Center,Hospital / medical center
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
Zodiac Produtos Farmaceuticos S.A.,Zodiac Produtos Farmaceuticos S.A.,Industry
Swiss Cancer Institute,Swiss Cancer Institute,Research institute / foundation
AstraZeneca,AstraZeneca,Industry
M.D. Anderson Cancer Center,MD Anderson Cancer Center,Hospital / medical center
Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,Cooperative group / network
Spanish Breast Cancer Research Group,Spanish Breast Cancer Research Group,Cooperative group / network
Guangdong Association of Clinical Trials,Guangdong Association of Clinical Trials,Other / unknown
Centre Leon Berard,Centre Leon Berard,Research institute / foundation
Lymphoma Study Association,Lymphoma Study Association,Cooperative group / network
Blue Earth Diagnostics,Blue Earth Diagnostics,Industry
mAbxience Research S.L.,mAbxience Research S.L.,Industry
Turku University Hospital,Turku University Hospital,Hospital / medical center
"Janssen Research & Development, LLC",Janssen Research & Development,Industry
"Xuanzhu Biopharmaceutical Co., Ltd.","Xuanzhu Biopharmaceutical Co., Ltd.",Industry
British Association of Surgical Oncology: Breast Group,British Association of Surgical Oncology Breast Group,Cooperative group / network
Brazilian Clinical Research Institute,Brazilian Clinical Research Institute,Research institute / foundation
Michalis Karamouzis,Michalis Karamouzis,Individual
Fudan University,Fudan University,Academic
Fudan University,Fudan University,Academic
"Janssen Research & Development, LLC",Janssen Research & Development,Industry
"University Hospital, Linkoeping",University Hospital Linkoeping,Hospital / medical center
Amgen,Amgen,Industry
Ottawa Hospital Research Institute,Ottawa Hospital Research Institute,Research institute / foundation
Natureceuticals Sdn Bhd,Natureceuticals Sdn Bhd,Industry
The Mentor Initiative,The Mentor Initiative,Other / unknown
Eisai Inc.,Eisai Inc.,Industry
Bristol-Myers Squibb,Bristol-Myers Squibb,Industry
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
DKMS gemeinnützige GmbH,DKMS gemeinnützige GmbH,Other / unknown
Mohamed Sayed Abdelhafez,Mohamed Sayed Abdelhafez,Individual
Mayo Clinic,Mayo Clinic,Hospital / medical center
Merck Sharp & Dohme LLC,Merck Sharp & Dohme,Industry
Arbeitsgemeinschaft medikamentoese Tumortherapie,Arbeitsgemeinschaft medikamentoese Tumortherapie,Cooperative group / network
Henrik Lindman,Henrik Lindman,Individual
"Merck Healthcare KGaA, Darmstadt, Germany, an affiliate of Merck KGaA, Darmstadt, Germany",Merck Healthcare KGaA,Industry
Steba Biotech S.A.,Steba Biotech S.A.,Industry
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
"Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine",Shanghai General Hospital,Hospital / medical center
Myovant Sciences GmbH,Myovant Sciences GmbH,Industry
Fudan University,Fudan University,Academic
"Nanfang Hospital, Southern Medical University",Nanfang Hospital,Hospital / medical center
Eli Lilly and Company,Eli Lilly and Company,Industry
Odense University Hospital,Odense University Hospital,Hospital / medical center
BeiGene,BeiGene,Industry
Shanghai Henlius Biotech,Shanghai Henlius Biotech,Industry
Jules Bordet Institute,Jules Bordet Institute,Research institute / foundation
German CLL Study Group,German CLL Study Group,Cooperative group / network
Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,Cooperative group / network
Norma Osama Abdalla Zayed,Norma Osama Abdalla Zayed,Individual
Bristol-Myers Squibb,Bristol-Myers Squibb,Industry
AstraZeneca,AstraZeneca,Industry
Bayer,Bayer,Industry
Mercy Health Ohio,Mercy Health Ohio,Hospital / medical center
The Catholic University of Korea,The Catholic University of Korea,Academic
European Mantle Cell Lymphoma Network,European Mantle Cell Lymphoma Network,Cooperative group / network
Sanofi,Sanofi,Industry
Gruppo Italiano Malattie EMatologiche dell'Adulto,Gruppo Italiano Malattie Ematologiche dell'Adulto,Cooperative group / network
iOMEDICO AG,iOMEDICO AG,Industry
"Astex Pharmaceuticals, Inc.",Astex Pharmaceuticals,Industry
Mansoura University,Mansoura University,Academic
Chinese Academy of Medical Sciences,Chinese Academy of Medical Sciences,Research institute / foundation
University of Southern California,University of Southern California,Academic
Yantai LNC Biotechnology Singapore PTE. LTD.,Yantai LNC Biotechnology Singapore PTE. LTD.,Industry
"Qilu Pharmaceutical Co., Ltd.","Qilu Pharmaceutical Co., Ltd.",Industry
PD Dr. med. Volker Heinemann,Volker Heinemann,Individual
Sanofi,Sanofi,Industry
Shire,Shire,Industry
University of Leicester,University of Leicester,Academic
"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.","Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",Industry
Günther Hofbauer,Günther Hofbauer,Individual
German High-Grade Non-Hodgkin's Lymphoma Study Group,German High-Grade Non-Hodgkin's Lymphoma Study Group,Cooperative group / network
Children's Oncology Group,Children's Oncology Group,Cooperative group / network
Merck Sharp & Dohme LLC,Merck Sharp & Dohme LLC,Industry
King Abdullah Medical City,King Abdullah Medical City,Hospital / medical center
Johann Wolfgang Goethe University Hospital,Johann Wolfgang Goethe University Hospital,Hospital / medical center
ARCAGY/ GINECO GROUP,ARCAGY/GINECO Group,Cooperative group / network
Zhejiang University,Zhejiang University,Academic
West China Hospital,West China Hospital,Hospital / medical center
Vical,Vical,Industry
Jena University Hospital,Jena University Hospital,Hospital / medical center
Mallinckrodt,Mallinckrodt,Industry
Tolmar Inc.,Tolmar Inc.,Industry
Health Clinics Limited,Health Clinics Limited,Other / unknown
Hospices Civils de Lyon,Hospices Civils de Lyon,Hospital / medical center
Sun Yat-sen University,Sun Yat-sen University,Academic
Ottawa Hospital Research Institute,Ottawa Hospital Research Institute,Research institute / foundation
Arbeitsgemeinschaft fur Internistische Onkologie,Arbeitsgemeinschaft für Internistische Onkologie,Cooperative group / network
Kaunas University of Medicine,Kaunas University of Medicine,Academic
"University of Turin, Italy",University of Turin,Academic
Hospital Israelita Albert Einstein,Hospital Israelita Albert Einstein,Hospital / medical center
"Beijing Konruns Pharmaceutical Co., Ltd.","Beijing Konruns Pharmaceutical Co., Ltd.",Industry
Pharmacyclics LLC.,Pharmacyclics LLC,Industry
Amgen,Amgen,Industry
Zhejiang Cancer Hospital,Zhejiang Cancer Hospital,Hospital / medical center
AbbVie,AbbVie,Industry
Women's Hospital School Of Medicine Zhejiang University,Women's Hospital School of Medicine Zhejiang University,Hospital / medical center
"Jiangsu Hansoh Pharmaceutical Co., Ltd.","Jiangsu Hansoh Pharmaceutical Co., Ltd.",Industry
Gynecologic Oncology Group,Gynecologic Oncology Group,Cooperative group / network
Nikolaj Frost MD,Nikolaj Frost,Individual
Cancer Research UK,Cancer Research UK,Research institute / foundation
The First People's Hospital of Changzhou,The First People's Hospital of Changzhou,Hospital / medical center
Fondazione Italiana Linfomi - ETS,Fondazione Italiana Linfomi - ETS,Research institute / foundation
"National Health Research Institutes, Taiwan","National Health Research Institutes, Taiwan",Research institute / foundation
Sun Yat-sen University,Sun Yat-sen University,Academic
Istanbul University,Istanbul University,Academic
Merck Sharp & Dohme LLC,Merck Sharp & Dohme LLC,Industry
Blokhin's Russian Cancer Research Center,Blokhin Russian Cancer Research Center,Research institute / foundation
Institut du Cancer de Montpellier - Val d'Aurelle,Institut du Cancer de Montpellier,Hospital / medical center
"Taizhou Mabtech Pharmaceutical Co.,Ltd","Taizhou Mabtech Pharmaceutical Co., Ltd.",Industry
"Gustave Roussy, Cancer Campus, Grand Paris",Gustave Roussy,Research institute / foundation
"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.","Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",Industry
University of Ulm,University of Ulm,Academic
Sun Yat-sen University,Sun Yat-sen University,Academic
"National Research Center for Hematology, Russia",National Research Center for Hematology,Research institute / foundation
Assiut University,Assiut University,Academic
Takeda,Takeda,Industry
Alexandria University,Alexandria University,Academic
Achieve Life Sciences,Achieve Life Sciences,Industry
Fudan University,Fudan University,Academic
Sarcoma Alliance for Research through Collaboration,Sarcoma Alliance for Research through Collaboration,Cooperative group / network
Corixa Corporation,Corixa Corporation,Industry
THERABIONIC INC.,Therabionic Inc.,Industry
"Taewoong Medical Co., Ltd.","Taewoong Medical Co., Ltd.",Industry
Peking Union Medical College Hospital,Peking Union Medical College Hospital,Hospital / medical center
"Sumitomo Pharma Co., Ltd.","Sumitomo Pharma Co., Ltd.",Industry
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
Regeneron Pharmaceuticals,Regeneron Pharmaceuticals,Industry
Ain Shams University,Ain Shams University,Academic
Thomas Jefferson University,Thomas Jefferson University,Academic
"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.","Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",Industry
Spanish Breast Cancer Research Group,Spanish Breast Cancer Research Group,Cooperative group / network
